date,meeting_file,section,item_number,item_title,authors,dollar_total,recommendation,prelabel,framework_category,category_label,reason,label,override_category,notes
2025-06-17,2025-06-17-regular.json,consent,22,"Civic Arts Commission Funding Request - Additional $41,685 from the General Fund in FY26 for Festival Grants",Civic Arts Commission,241685,"Refer to the City’s Budget process an increased budget allocation of $41,685 of general fund monies to bring the total allocation for Festival Grants to $200,000 in FY26.",adds_non_core,1E,Cultural / nonprofit grant ecosystem,arts/cultural grant or program,,,
2025-06-17,2025-06-17-regular.json,action,34,Fees: Public Health: Berkeley High School Health Center Services,City Manager,0,"Conduct a public hearing, and upon conclusion, adopt a Resolution establishing a new fee schedule and any annual fee adjustments through June 2028 based on changes in market rates (so long as such fee adjustments do not exceed the City’s cost to provide the services) for Public Health Clinic service",adds_non_core,1A,Public health — city-run layer,public health program/contract,,,
2025-06-24,2025-06-24-regular.json,consent,3,Recommendations for County Measure W Funding,City Manager,0,"Send a letter to the Alameda County Board of Supervisors outlining the City Council’s priorities for initial rounds of funding from Measure W, a half-cent sales tax increase passed by Alameda County voters in November 2020.",revenue_seeking,,,bond/tax/ballot measure,,,
2025-06-24,2025-06-24-regular.json,consent,20,Authorization for Additional Civic Arts Commission Meeting in 2025,Civic Arts Commission,0,Adopt a Resolution for one additional meeting of the Civic Arts Commission in 2025.,adds_non_core,1E,Cultural / nonprofit grant ecosystem,arts/cultural grant or program,,,
2025-06-24,2025-06-24-regular.json,action,26,Borrowing of Funds and the Sale and Issuance of FY 2025-26 Tax and Revenue Anticipation Notes,City Manager,61000000,"Adopt a Resolution approving the borrowing of Not to Exceed (NTE) $61,000,000 and the sale and issuance of Fiscal Year 2025-26 Tax and Revenue Anticipation Notes.",revenue_seeking,,,bond/tax/ballot measure,,,
2025-07-29,2025-07-29-regular.json,consent,9,Mental Health Services Act Fiscal Year 2026 Annual Update,City Manager,0,"Adopt a Resolution approving the Mental Health Services Act (MHSA) Fiscal Year 2026 Annual Update, which identifies uses of funds for mental health programming, and forwarding the Annual Update to appropriate State officials.",adds_non_core,1A,Public health — city-run layer,public health program/contract,,,
2025-07-29,2025-07-29-regular.json,council_consent,25,Berkeley Green New Deal: Workforce Development,Taplin,0,Refer to the City Manager a feasibility analysis and request for recommendations for possible models to either establish a green workforce development board within the City of Berkeley or strengthen the alignment between City of Berkeley and community partner programs and the Alameda County Workforc,adds_non_core,2C,Climate / sustainability administration,climate/sustainability program,,,
2025-07-29,2025-07-29-special.json,consent,1,Grant Award: Byrne State Crisis Intervention Program (SCIP) Cohort 2 Funding – Acceptance of Grant and Execution of Rela,City Manager,1000000,"Adopt a Resolution authorizing the City Manager to accept the Byrne State Crisis Intervention Program (SCIP) grant award of $1,000,000 from the Board of State and Community Corrections (BSCC); execute any resultant agreements and amendments; appropriate the funding for eligible project activities co",adds_non_core,2A,Alternative public safety layers,alternative public safety program,,,
2025-09-09,2025-09-09-regular.json,consent,8,Contract: African American/Black Professional Community Network for Project Sankofa,City Manager,300000,"Adopt a Resolution authorizing the City Manager to execute a contract and any amendments with African American/Black Professional Community Network (AABPN) with Healthy Black Families as the fiscal sponsor for the African American Holistic Resource Center, Project Sankofa, which will be funded throu",adds_non_core,1A,Public health — city-run layer,public health program/contract,,,
2025-09-16,2025-09-16-regular.json,consent,1,Contract: Sorell Raino-Tsui for Public Artwork Commission for Martin Luther King Jr. Youth Services Center/Young Adult P,City Manager,442000,"Adopt a Resolution authorizing the City Manager to execute a contract and any necessary amendments with Sorell Raino-Tsui for an amount not to exceed $442,000 for a public art commission of an 885 square foot mosaic on the exterior East wall, exterior North wall, and interior North wall of the Marti",adds_non_core,1E,Cultural / nonprofit grant ecosystem,arts/cultural grant or program,,,
2025-09-30,2025-09-30-regular.json,consent,8,Revenue Grant Agreement: Funding Support from the California Department of Public Health to Enhance Disease Intervention,City Manager,523953,"Adopt a Resolution authorizing the City Manager or designee to accept funds from the California Department of Public Health (CDPH) in the projected amount of $523,953 to execute a revenue agreement, contract, and any necessary amendments and extensions.",adds_non_core,1C,Workforce development / youth programming,workforce/youth development program,,,
2025-10-14,2025-10-14-regular.json,consent,4,Contract: Healthy Black Families for the African American Holistic Resource Center Project Sankofa,City Manager,300000,"Adopt a Resolution authorizing the City Manager to execute a contract and any amendments with Healthy Black Families (HBF) for the African American Holistic Resource Center Project Sankofa, which will be funded through the State of California Mental Health Services Act (MHSA) Community Services and ",adds_non_core,1A,Public health — city-run layer,public health program/contract,,,
2025-10-14,2025-10-14-regular.json,consent,9,"Contract No. 31900009 Amendment: McKinley House (2111 McKinley Avenue, Berkeley, CA 94703)",City Manager,995607,"Adopt a Resolution authorizing the City Manager or designee to execute an amendment to Contract No. 31900009 with Building Opportunities for Self-Sufficiency (BOSS) through June 30, 2026, adding $84,474 for a total contract amount not to exceed $911,133, to fund Mental Health clients living at 2111 ",adds_non_core,1B,Housing / homeless services — direct service model,homeless/housing services program,,,
2025-10-14,2025-10-14-regular.json,council_consent,17,Civic Arts Grant Awards: Fiscal Year 2026,"City Manager Contact: Eleanor Hollander, Economic Development, (510) 981-7530",0,,adds_non_core,1E,Cultural / nonprofit grant ecosystem,arts/cultural grant or program,,,
2025-10-28,2025-10-28-regular.json,consent,5,Contract: Dyson & Womack for a Public Art Program Strategic Plan,City Manager,110000,"Adopt a Resolution authorizing the City Manager to execute a contract and any necessary amendments with Dyson & Womack Art Consulting for an amount not to exceed $110,000 for the development of a comprehensive Public Art Program Strategic Plan for the City of Berkeley. The contract term will be 18 m",adds_non_core,1E,Cultural / nonprofit grant ecosystem,arts/cultural grant or program,,,
2025-10-28,2025-10-28-regular.json,action,37,Civic Arts Commission FY26 Work Plan,"Civic Arts Commission Contact: Jennifer Lovvorn, Commission Secretary, (510) 981-7530",0,,adds_non_core,1E,Cultural / nonprofit grant ecosystem,arts/cultural grant or program,,,
2025-11-18,2025-11-18-regular.json,consent,14,"Adoption of Side Letter Agreements Between the City of Berkeley and the Berkeley Fire Fighters Association (BFFA), Berke",City Manager,0,"Adopt a Resolution approving Side Letter Agreements between the City of Berkeley and the Berkeley Fire Fighters Association (BFFA), Berkeley Fire EMS Professionals Association (BFEMSA), and Berkeley Fire Chief Officers Association (BFOA) to clarify the calculation and reporting of special compensati",p1_direct,,,directly addresses P1 infrastructure/fiscal problem,,,
2025-11-18,2025-11-18-regular.json,consent,15,Adoption of Side Letter Agreement with Berkeley Police Association to Clarify the Calculation and Reporting of Special C,City Manager,0,Adopt a Resolution approving the Side Letter Agreement between the City of Berkeley and the Berkeley Police Association (BPA) to clarify and confirm the compounding and reporting of special compensation under CalPERS regulations.,entrenches_cost_premium,3E,Administrative overhead,labor agreement/MOU — locks in compensation and pension carry cost,,,
2025-11-18,2025-11-18-regular.json,consent,26,"Recommendations for the Formulation of Advanced Fiscal Policies to Institutionalize Strategic Bond Issuance, Optimize Mu",Taplin,300000250,"1. Structured Bond Issuance Framework: Refer to the City Manager assessment, analysis, and presentation to the Council of a potential comprehensive fiscal policy every two years that institutionalizes, codifies, and makes publicly accessible a regular, predictive schedule for general obligation bond",revenue_seeking,,,bond/tax/ballot measure,,,
2025-12-02,2025-12-02-regular.json,consent,15,Adoption of Successor Memorandum Agreement: International Brotherhood of Electrical Workers Local 1245,City Manager,0,"1. Adopt a Resolution approving the successor three-year Memorandum Agreement with the International Brotherhood of Electrical Workers Local 1245 with a term of July 1, 2025, through June 30, 2028, authorizing the City Manager to execute and implement the revised terms and conditions of employment s",entrenches_cost_premium,3E,Administrative overhead,labor agreement/MOU — locks in compensation and pension carry cost,,,
2025-12-02,2025-12-02-regular.json,council_consent,31,"Creations Berkeley – Black Joy Club Kwanzaa Toy Drive and Celebration on December 11, 2025 – Relinquishment of Council O",Bartlett,500,"Adopt a Resolution approving the expenditure of an amount not to exceed $250 per Councilmember, including $250 from the discretionary Council Office Budget of Councilmember Ben Bartlett, to Creations Berkeley Media & Performing Arts, Inc., to support the Black Joy Club’s Kwanzaa Toy Drive and Celebr",adds_non_core,1E,Cultural / nonprofit grant ecosystem,arts/cultural grant or program,,,
2025-12-02,2025-12-02-special.json,action,2,"Discussion Regarding Potential Ballot Measures for the November 3, 2026, General Municipal Election",City Manager,0,"Review staff recommendations, provide input and direction on project priorities, and discuss which infrastructure projects should be reflected in a community survey for potential inclusion in a bond measure.",revenue_seeking,,,bond/tax/ballot measure,,,
2026-01-20,2026-01-20-regular.json,consent,4,Revenue Agreement: Alameda Alliance for Health Provider Recruitment Initiative,City Manager,20000,"Adopt a Resolution ratifying the action taken by the City Manager during recess to accept a grant award, and execute any resultant agreements and amendments, in the amount of $20,000 for Fiscal Year 2026, from the Alameda Alliance for Health Provider Recruitment Initiative to support the development",adds_non_core,1A,Public health — city-run layer,public health program/contract,,,
2026-01-27,2026-01-27-regular.json,council_consent,17,Refer to the City Manager to include in the Community Survey a Poll Question about Increasing Sales Tax in the City of  ,Kesarwani,27000000,Refer to the City Manager to include in the upcoming community survey for the November 2026 election a question about increasing the sales tax in the City of Berkeley from 10.25 percent to the maximum of 10.75 percent to help address the City’s projected budget deficit of $27 million.,revenue_seeking,,,bond/tax/ballot measure,,,
2026-03-24,2026-03-24-regular.json,consent,5,"Rescinding Resolution No. 65,945–N.S. and Establishing the Behavioral Health Commission in Compliance with the Behaviora",City Manager,0,"Adopt a Resolution rescinding Resolution No. 65,945–N.S. and establishing the Behavioral Health Commission. This action updates the Commission’s enabling legislation to comply with the State of California’s Behavioral Health Services Act (SB 326), integrates substance use disorder oversight, and for",adds_non_core,1A,Public health — city-run layer,public health program/contract,,,
2026-03-24,2026-03-24-regular.json,consent,12,"Contract: Terocons, Inc. for FY 2026 Curb Ramp & Sidewalk Repair Project",City Manager,4207883,"Adopt a Resolution approving specifications for the FY 2026 Curb Ramp & Sidewalk Repair Project (Specification No. 26-11764-C), authorizing the City Manager to accept the bid of Terocons, Inc. as the lowest, responsive and responsible bidder and to execute a contract and any amendments, extensions, ",p1_direct,,,directly addresses P1 infrastructure/fiscal problem,,,
2026-03-24,2026-03-24-regular.json,action,25,Adopt a Resolution Authorizing Temporary Employment of Retired Annuitant Kathy Lee as Interim Director of Police Account,Ishii,122,"Adopt a Resolution authorizing the appointment of Kathy Lee as a retired annuitant to serve as Interim Director of Police Accountability pursuant to Government Code Sections 21221(h) and 7522.56 and the Mayor to execute the attached employment agreement establishing an hourly rate of $122.44, consis",p1_direct,,,directly addresses P1 infrastructure/fiscal problem,,,
